Sr.no,Title,Description,University,Link
11,"Adaptive Security Threat Detection for Small Footprint Computing Devices within Industrial Control Systems, Intelligent Homes, Medical Devices & Smart Infrastructure",Research Group. Cyber Security and Networking Research Group. Proposed supervisory team. Adrian Winckles. (adrian.winckles@anglia.ac.uk).,"Anglia Ruskin University ARU, School of Computing and Information Science",www.findaphd.com/phds/project/adaptive-security-threat-detection-for-small-footprint-computing-devices-within-industrial-control-systems-intelligent-homes-medical-devices-and-smart-infrastructure/?p96403
12,Trustworthy Security Systems,"Cyber Security is becoming more and more important with the increasing integration of communication interfaces in various network systems, such as vehicular ad-hoc networks, mobile ad-hoc networks, controller areas networks and in-vehicle infotainment systems.","University of Bradford, Faculty of Engineering and Informatics",www.findaphd.com/phds/project/trustworthy-security-systems/?p117734
13,Improving Electric Vehicles’ Safety and Security through Cyber Situational Awareness,"Context. To reduce greenhouses gases from the largest emitting sector, electric vehicles (EVs) present great opportunities for country like UK.","Cardiff University, Cardiff School of Computer Science & Informatics",www.findaphd.com/phds/project/improving-electric-vehicles-safety-and-security-through-cyber-situational-awareness/?p133748
14,Cyber Resiliency of Electric Vehicle Infrastructure,Cyber resiliency is one of the key requirements for constantly fighting against cyber-attacks on critical infrastructure. Research community as well as industry have realised that providing cyber resiliency is one of the key challenges as of now.,"Cardiff University, Cardiff School of Computer Science & Informatics",www.findaphd.com/phds/project/cyber-resiliency-of-electric-vehicle-infrastructure/?p133750
15,Estimate Cyber Risks for Electric Vehicle Infrastructure,"Context. Currently there is an urgent need for a sustainable digital route to zero-carbon road transport by facilitating low-carbon charging of electric vehicles (EVs) to meet the 2030 target to ban all new petrol and diesel cars, and 2050 Net-Zero.","Cardiff University, Cardiff School of Computer Science & Informatics",www.findaphd.com/phds/project/estimate-cyber-risks-for-electric-vehicle-infrastructure/?p133749
16,Cyber Incident-Response of Electric Vehicle Infrastructure,Context. Advanced cyber-attacks can massively disrupt the physical systems such electric vehicle (EV) infrastructure. It is not always possible to protect the system against potential threats and the available detection capabilities may not be enough.,"Cardiff University, Cardiff School of Computer Science & Informatics",www.findaphd.com/phds/project/cyber-incident-response-of-electric-vehicle-infrastructure/?p133751
17,Machine learning based cyber security in IoT appliances,Internet of Things (IoTs) appliances are integrated in our day-to-day life needing a secure platform for us to be comfortable in using them.,"Kingston University, Faculty of Science, Engineering and Computing",www.findaphd.com/phds/project/machine-learning-based-cyber-security-in-iot-appliances/?p123669
18,Automating Creation Randomised Digital Evidence Crime scene Device Images for Digital Forensics and Incident Response Education,Research Group. Cyber Security and Networking Research Group. Proposed supervisory team. Adrian Winckles. Theme. Cyber Security and Digital Forensics Training Resources.,"Anglia Ruskin University ARU, School of Computing and Information Science",www.findaphd.com/phds/project/automating-creation-randomised-digital-evidence-crime-scene-device-images-for-digital-forensics-and-incident-response-education/?p132303
19,"Test, Trace and Track: The Cyber-securities of COVID tracing apps.",The Centre for Doctoral Training in Cyber Security for the Everyday at Royal Holloway seeks to recruit a PhD student who will explore the development and construction of contact tracing apps.,"Royal Holloway, University of London, Information Security Group",www.findaphd.com/phds/project/test-trace-and-track-the-cyber-securities-of-covid-tracing-apps/?p137920
20,Blockchain Technology and Smart Contracts for the Security of Internet of Things and Wireless Communications,The broadcast nature of Wi-Fi has made the wireless access open to new forms of cyber attacks against the IEEE 802.11 standard protocol.,"University of Bradford, Faculty of Engineering and Informatics",www.findaphd.com/phds/project/blockchain-technology-and-smart-contracts-for-the-security-of-internet-of-things-and-wireless-communications/?p138932
21,Security threat intelligence,Research Group. Cyber Security and Networking Research Group. Proposed supervisory team. Adrian Winckles. Theme. Cyber security. Summary of the research project.,"Anglia Ruskin University ARU, School of Computing and Information Science",www.findaphd.com/phds/project/security-threat-intelligence/?p109531
22,SFI Centre for Research Training in Advanced Networks for Sustainable Societies,"Tigera, Munster Technological University (MTU) and the Science Foundation Ireland (SFI) Centre for Research Training in Advanced Networks and Sustainable Societies (ADVANCE) form a partnership to fund a PhD position in the area of cybersecurity and artificial intelligence.",Maynooth University,www.findaphd.com/phds/program/sfi-centre-for-research-training-in-advanced-networks-for-sustainable-societies/?i173p4518
23,SFI Centre for Research Training in Advanced Networks for Sustainable Societies,"Tigera, Munster Technological University (MTU) and the Science Foundation Ireland (SFI) Centre for Research Training in Advanced Networks and Sustainable Societies (ADVANCE) form a partnership to fund a PhD position in the area of cybersecurity and artificial intelligence.",Munster Technological University ,www.findaphd.com/phds/program/sfi-centre-for-research-training-in-advanced-networks-for-sustainable-societies/?i3549p4518
24,SFI Centre for Research Training in Advanced Networks for Sustainable Societies,"Tigera, Munster Technological University (MTU) and the Science Foundation Ireland (SFI) Centre for Research Training in Advanced Networks and Sustainable Societies (ADVANCE) form a partnership to fund a PhD position in the area of cybersecurity and artificial intelligence.",Technological University Dublin,www.findaphd.com/phds/program/sfi-centre-for-research-training-in-advanced-networks-for-sustainable-societies/?i62p4518
25,SFI Centre for Research Training in Advanced Networks for Sustainable Societies,"Tigera, Munster Technological University (MTU) and the Science Foundation Ireland (SFI) Centre for Research Training in Advanced Networks and Sustainable Societies (ADVANCE) form a partnership to fund a PhD position in the area of cybersecurity and artificial intelligence.",Trinity College Dublin,www.findaphd.com/phds/program/sfi-centre-for-research-training-in-advanced-networks-for-sustainable-societies/?i250p4518
26,SFI Centre for Research Training in Advanced Networks for Sustainable Societies,"Tigera, Munster Technological University (MTU) and the Science Foundation Ireland (SFI) Centre for Research Training in Advanced Networks and Sustainable Societies (ADVANCE) form a partnership to fund a PhD position in the area of cybersecurity and artificial intelligence.",University College Cork,www.findaphd.com/phds/program/sfi-centre-for-research-training-in-advanced-networks-for-sustainable-societies/?i271p4518
27,Ethnographic explorations of security needs and practices in large-scale protests,The Centre for Doctoral Training in Cyber Security for the Everyday at Royal Holloway University of London seeks to recruit a PhD student to explore the security needs and practices of participants in large-scale protests.,"Royal Holloway, University of London, Information Security Group",www.findaphd.com/phds/project/ethnographic-explorations-of-security-needs-and-practices-in-large-scale-protests/?p137917
28,Studying the security and privacy of Identity management systems,"Identity management systems (such as OAuth 2.0 and OpenID Connect) have been widely adopted by a range of Relying Parties and Identity Providers, there are already more than a billion OpenID Connect and OAuth 2.0-based user accounts, provided by a range of providers including Microsoft, PayPal, Facebook, Google.","Aberdeen University, Department of Computing Science",www.findaphd.com/phds/project/studying-the-security-and-privacy-of-identity-management-systems/?p131872
29,Research opportunities in Computer Science,"Our Department of Computer Science has a strong international reputation for conducting research that has real impact, tackles fundamental questions and addresses interdisciplinary problems which face today's computer scientists.","University of York, Department of Computer Science",www.findaphd.com/phds/programme/research-opportunities-in-computer-science/?p5044
30,Centre for Doctoral Training (CDT) in Cybersecurity,"Do you already see cybersecurity as more than a technical problem? If you're interested in working across disciplines and sectors to research creative solutions to real challenges, read on.","University College London, Department of Computer Science",www.findaphd.com/phds/program/centre-for-doctoral-training-cdt-in-cybersecurity/?i274p4553
31,Privacy-preserving Outsourced Computation,"The Centre for Doctoral Training in Cyber Security for the Everyday seeks to recruit a PhD student to work on practical privacy-preserving outsourced computation techniques, such as homomorphic encryption (HE).","Royal Holloway, University of London, Information Security Group",www.findaphd.com/phds/project/privacy-preserving-outsourced-computation/?p137921
32,Dynamic Risk Assessment for Critical Infrastructures under Attack,"This PhD project aims to address the need for near-real-time risk assessment for safe and continuous operation of critical infrastructures, e.g., water, power, transportation, when faced with an ongoing cyber-attack.","University of Bristol, Department of Computer Science",www.findaphd.com/phds/project/dynamic-risk-assessment-for-critical-infrastructures-under-attack/?p132045
33,Device-aware Security Solution for Critical Infrastructure,"The trade-off between the IoT device's ability to perform its tasks and the required built-in security protection will be an important challenge, especially when considering the power and/or computing constraints.","Aberdeen University, Department of Computing Science",www.findaphd.com/phds/project/device-aware-security-solution-for-critical-infrastructure/?p131877
34,Using a Machine Learning approach to develop a multilingual capable system for collecting and evaluating cyber threat intelligence from online communities.,"In recent years many cyber threat intelligence (CTI) solutions and services have been developed, primarily for use by companies and institutions.","Kingston University, Faculty of Science, Engineering and Computing",www.findaphd.com/phds/project/using-a-machine-learning-approach-to-develop-a-multilingual-capable-system-for-collecting-and-evaluating-cyber-threat-intelligence-from-online-communities/?p88055
35,Security of Medical Cyber-Physical Systems,"Many medical conditions require therapy via implantable and wearable devices, such as cardiac devices to treat arrhythmia treatment and artificial pancreas systems for glucose regulation in diabetes.","Royal Holloway, University of London, Information Security Group",www.findaphd.com/phds/project/security-of-medical-cyber-physical-systems/?p137923
36,Safe and Secure IoT-enabled Smart Systems,"In recent years, the Internet of Things (IoT) has received a lot of attention from industry and academia. It is envisaged that by 2025, over 80 billion devices around the globe will be connected to the Internet.","University of Bradford, Faculty of Engineering and Informatics",www.findaphd.com/phds/project/safe-and-secure-iot-enabled-smart-systems/?p122157
37,Clean Energy Cybersecurity in Future Power Systems (RENU22/EE/MPEE/JIANG),"The EPSRC Centre for Doctoral Training (CDT) in Renewable Energy Northeast Universities (ReNU)is a collaborative doctoral training programme run by the Universities of Northumbria, Newcastle and Durham.","Northumbria University, Faculty of Engineering and Environment",www.findaphd.com/phds/project/clean-energy-cybersecurity-in-future-power-systems-renu22-ee-mpee-jiang/?p138648
38,Formal Security Analysis of Cryptographic Protocols,Cryptographic protocols are distributed algorithms that allow entities to perform security-related functions over a (potentially untrusted) network.,"Royal Holloway, University of London, Information Security Group",www.findaphd.com/phds/project/formal-security-analysis-of-cryptographic-protocols/?p137926
39,Scholarships available for SECReT: The International Training Centre for Security and Crime Related Research Degrees,SECReT. The International Training Centre for Security and Crime Related Research Degrees.,"University College London, UCL SECReT",www.findaphd.com/phds/program/scholarships-available-for-secret-the-international-training-centre-for-security-and-crime-related-research-degrees/?i274p388
40,ERC funded PhD Scholarship: Risk and Resilience Analysis of Container Supply Chains,"The Liverpool Logistics, Offshore and Marine Research Institute (LOOM) within the Faculty of Engineering and Technology at Liverpool John Moores University (LJMU) are inviting applications for 7 PhD scholarships in the areas of container transport risk, resilience and sustainability analysis.","Liverpool John Moores University, Faculty of Engineering & Technology",www.findaphd.com/phds/project/erc-funded-phd-scholarship-risk-and-resilience-analysis-of-container-supply-chains/?p137390
41,Collaborative Learning and Blockchain-enabled Cybersecurity Model for V2X Communications,"The functional safety of many intelligent systems, such as autonomous robots and self-driving cars, remains largely dependent on the robustness of the underlying machine learning model.","Aberdeen University, Department of Computing Science",www.findaphd.com/phds/project/collaborative-learning-and-blockchain-enabled-cybersecurity-model-for-v2x-communications/?p131875
42,"Formal Verification for Safety- or Security-Critical Systems. EMPS College Home fees Studentship, PhD in Computer Science","Location. Department of Engineering, Streatham Campus, Devon, University of Exeter. The University of Exeter’s College of Engineering, Mathematics and Physical Sciences is inviting applications for a fully-funded PhD studentship to commence in January 2022 or as soon as possible thereafter.","University of Exeter, College of Engineering, Mathematics and Physical Sciences",www.findaphd.com/phds/project/formal-verification-for-safety-or-security-critical-systems-emps-college-home-fees-studentship-phd-in-computer-science/?p136451
43,Security-Aware Safety Monitoring of IoT-enabled Smart Environment,Internet of Things (IoT) is a promising networking paradigm that integrates physical processes with the cyber world to provide useful services.,"University of Bradford, Faculty of Engineering and Informatics",www.findaphd.com/phds/project/security-aware-safety-monitoring-of-iot-enabled-smart-environment/?p117745
44,PhD Opportunities at University of Winchester,"The University of Winchester is seeking talented, enthusiastic and highly motivated individuals to become part of our expanding and vibrant postgraduate research community.",University of Winchester,www.findaphd.com/phds/programme/phd-opportunities-at-university-of-winchester/?p4697
45,PhD Studentship: Beyond data-driven: physics-informed and trustworthy machine learning for monitoring and optimization of machines and processes in advanced manufacturing,Background.,"Lancaster University, Department of Engineering",www.findaphd.com/phds/project/phd-studentship-beyond-data-driven-physics-informed-and-trustworthy-machine-learning-for-monitoring-and-optimization-of-machines-and-processes-in-advanced-manufacturing/?p134581
46,PhD Studentship - Investigation into in-line process monitoring for improved quality assurance in electron beam powder bed additive manufacture (EBPBAM),Background. Electron beam powder bed additive manufacture is being explored widely for the production of aeroengine components. It offers great advantages in terms of being able to build components with complex internal structures in high temperature alloys.,"Lancaster University, Department of Engineering",www.findaphd.com/phds/project/phd-studentship-investigation-into-in-line-process-monitoring-for-improved-quality-assurance-in-electron-beam-powder-bed-additive-manufacture-ebpbam/?p132440
47,Exploring the potential of human-like computing applications for education or healthcare,"Intelligent ‘human-like’ and emotionally intelligent applications, such as 3D games and mobile phone applications are becoming more common in our everyday lives, and also as an important area of focus within the fields of Human-Computer Interaction and Multimedia research.","Brunel University London, Computer Science",www.findaphd.com/phds/project/exploring-the-potential-of-human-like-computing-applications-for-education-or-healthcare/?p131714
48,PhD opportunities in Computer Science at Brunel University London,"From data analysis to artificial intelligence, drive innovation with PhD Computer Science at Brunel University London.",Brunel University London,www.findaphd.com/phds/programme/phd-opportunities-in-computer-science-at-brunel-university-london/?p3838
49,Smart 5G and IoT Cooperative Communication System for Autonomous Vehicles in Intelligent Transport Systems,Reference number. SCEBE/21SF/017/DL. Background. One of the most important public health concerns in our world today is the global epidemic of road crash fatalities and injuries.,"Glasgow Caledonian University, School of Computing, Engineering & the Built Environment",www.findaphd.com/phds/project/smart-5g-and-iot-cooperative-communication-system-for-autonomous-vehicles-in-intelligent-transport-systems/?p129793
50,Earn your PhD Degree in Istanbul at Sabanci University,"Sabancı University is one of the most diverse, pioneering, and highly ranked universities in the region. Since 1999, with its world-class faculty, Sabancı University provides a globally ranked education, fully in English, at affordable tuition fees compared to similarly ranked universities in the world.",Sabanci University,www.findaphd.com/phds/program/earn-your-phd-degree-in-istanbul-at-sabanci-university/?i588p4367
51,Adaptive Cyber-Physical Security Towards Resilient Built Environments,"We increasingly rely on Internet of Things (IoT) devices in our daily lives. Smart devices are being deployed everywhere, ranging from smart cities to smart homes.","Cardiff University, Cardiff School of Computer Science & Informatics",www.findaphd.com/phds/project/adaptive-cyber-physical-security-towards-resilient-built-environments/?p132429
52,Software Programming Abstractions for High Assurance Secure System on Chip Devices,"Modern Industrial IoT devices will offer an emerging set of security capabilities underpinned by innovations in hardware support for introspection, obfuscation, and attestation.","University of Bristol, Department of Computer Science",www.findaphd.com/phds/project/software-programming-abstractions-for-high-assurance-secure-system-on-chip-devices/?p132046
53,Department of Social Sciences (Advert Reference: RDF22/ADSS/SOCIALSCIENCES),"Contact for queries relating to these funded studentships. Dr Ruth Lewis ruth.lewis@northumbria.ac.uk. Social Sciences at Northumbria is comprised of Criminology, Policing, Politics and International Relations, and Sociology.","Northumbria University, Faculty of Arts, Design and Social Sciences",www.findaphd.com/phds/programme/department-of-social-sciences-advert-reference-rdf22-adss-socialsciences/?p4653
54,Researcher in Binary Analysis (m/f/d),Description. Huawei's vision is to enrich life through communication. We are a fast growing and leading global information and communications technology solutions provider.,"Huawei Munich Research Center, German Research Center",www.findaphd.com/phds/project/researcher-in-binary-analysis-m-f-d/?p138806
55,Lattice-based and Post-quantum Cryptography,"The threat of large-scale, general-purpose quantum computers to existing public-key cryptographic solutions has lead to global efforts to standardise post-quantum cryptography as a replacement.","Royal Holloway, University of London, Information Security Group",www.findaphd.com/phds/project/lattice-based-and-post-quantum-cryptography/?p137924
56,School of Computing Science,The School of Computing Science at the University of Glasgow is offering up to 13 studentships to support PhD research for students starting by October…,University of Glasgow,www.findaphd.com/phds/programme/school-of-computing-science/?p5120
57,Robust adaptive framework for collision detection and alerting using a non-cooperative radar system PhD,"Introduction. This is an exciting opportunity for a fully-funded PhD studentship in the Centre for Autonomous and Cyber-Physical Systems at Cranfield University, in the field of conflict detection and alerting for safety in a blended airspace.","Cranfield University, School of Aerospace, Transport and Manufacturing (SATM)",www.findaphd.com/phds/project/robust-adaptive-framework-for-collision-detection-and-alerting-using-a-non-cooperative-radar-system-phd/?p132838
58,Machine learning for Autonomous and Interconnected Vehicles,"Cyber-Physical Mechatronic Systems such as autonomous vehicles, and intelligent transportation rely heavily on machine learning techniques for ever-increasing levels of autonomy.","University of Bradford, Faculty of Engineering and Informatics",www.findaphd.com/phds/project/machine-learning-for-autonomous-and-interconnected-vehicles/?p117720
59,Evil Digital Twins - Combinatorial Structures over Sparse Graphs,The existence of certain structures or properties of sparse graphs and their efficient algorithmic identification or approximation presents interesting challenges where these are finite.,"Royal Holloway, University of London, Information Security Group",www.findaphd.com/phds/project/evil-digital-twins-combinatorial-structures-over-sparse-graphs/?p137922
60,Securing emergent behaviour in swarm robotics,Swarm robotics is the study of how a large number of relatively simple robots can be designed so that a desired collective behaviour emerges from the local interactions among robots and between the robots and their environment.,"Royal Holloway, University of London, Information Security Group",www.findaphd.com/phds/project/securing-emergent-behaviour-in-swarm-robotics/?p137918
61,Cybersecurity in Vehicle-to-Everything (V2X) Communications,"The functional safety of many intelligent systems, such as autonomous robots and self-driving cars, remains largely dependent on the security and robustness of the trustworthy systems.","Aberdeen University, Department of Computing Science",www.findaphd.com/phds/project/cybersecurity-in-vehicle-to-everything-v2x-communications/?p135895
62,Statistical Modeling for Complex Observation Data: Applications to Intelligent Transport System,The School of Mathematical Sciences of Queen Mary University of London invite applications for a PhD project commencing in September 2022.,"Queen Mary University of London, School of Mathematical Sciences",www.findaphd.com/phds/project/statistical-modeling-for-complex-observation-data-applications-to-intelligent-transport-system/?p138354
63,PhD opportunities with the Institute for Digital Technologies at Loughborough University London,The Institute for Digital Technologies offers research expertise and experience in a wide range of subject areas. Our academics are leading research in their field and are extremely well-networked with professionals in a range of industries and sectors.,"Loughborough University London, Institute for Digital Technologies",www.findaphd.com/phds/program/phd-opportunities-with-the-institute-for-digital-technologies-at-loughborough-university-london/?i2122p3651
